priorytet;rodzina;model_podpis;duplikaty_w_model;id_model_kandydaci;proponowany_id_model;score_proponowanego;braki_proponowanego;niespojnosc_rodzaj_kolor;grupa_proponowana;rodzaj_proponowany;kolor_proponowany;plik_proponowany;maszyna_lacznie;maszyna_bez_id_model;maszyna_z_id_model;magazyn_seryjny_lacznie;magazyn_seryjny_bez_id_model;status_mastera;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_kanoniczny_id_model;uzupelnij_grupa;uzupelnij_rodzaj;uzupelnij_kolor;uzupelnij_plik;uwagi_uzytkownika
WYSOKI;RICOH;MPC 2500;1;383(3/4);383;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;256;256;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=383 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 383: RODZAJ;;;;;;
WYSOKI;RICOH;MP 301;1;472(4/4);472;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_301.png;254;254;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
WYSOKI;RICOH;MPC 307;4;545(4/4), 571(4/4), 392(3/4), 602(3/4);545;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mpc307.png;222;222;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MPC 3003;4;628(4/4), 30002488(4/4), 389(3/4), 560(3/4);628;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;196;196;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MPC 2003;3;378(4/4), 622(4/4), 30002487(4/4);378;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;180;180;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MP 161;1;338(3/4);338;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp201.png;145;145;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=338 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 338: RODZAJ;;;;;;
WYSOKI;RICOH;IMC 3000;3;539(4/4), 30002504(4/4), 30002508(4/4);539;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_im_c2000.png;133;133;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MP 171;2;339(3/4), 610(3/4);339;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp201.png;121;121;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
WYSOKI;RICOH;MPC 306;2;489(4/4), 572(4/4);489;4/4;;;Druk;kserokopiarka laserowa A4 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mpc307.png;120;120;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MPC 3004;3;390(4/4), 543(4/4), 600(4/4);390;4/4;;;Druk;Drukarka laserowa A3;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;119;119;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MPC 3001;1;388(3/4);388;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;117;117;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=388 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 388: RODZAJ;;;;;;
WYSOKI;RICOH;MPC 2011;2;380(3/4), 624(3/4);380;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;114;114;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
WYSOKI;RICOH;MP 2000;1;340(3/4);340;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;113;113;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=340 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 340: RODZAJ;;;;;;
WYSOKI;RICOH;DSM 415;2;318(4/4), 139(3/4);318;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp201.png;108;108;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
WYSOKI;RICOH;MP 201;2;342(3/4), 612(3/4);342;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp201.png;103;103;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
SREDNI;RICOH;IM 350;2;458(3/4), 576(3/4);458;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/R_IM_350.jpg;94;94;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
SREDNI;RICOH;IMC 300;2;30002496(3/4), 30002503(3/4);30002496;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/R_IMC_300.jpg;79;79;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
SREDNI;RICOH;DSM 622;3;325(4/4), 334(2/4), 559(2/4);325;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;74;74;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MP 2510;1;349(3/4);349;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;69;69;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=349 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 349: PLIK;;;;;;
SREDNI;RICOH;MP 305+;3;374(4/4), 592(4/4), 473(3/4);374;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/R_MP_305.jpg;67;67;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MP 2550;1;350(3/4);350;3/4;RODZAJ;;Druk;;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;63;63;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=350 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 350: RODZAJ;;;;;;
SREDNI;RICOH;DSM 618D;1;322(4/4);322;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;58;58;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;RICOH;MPC 2800;2;386(3/4), 627(3/4);386;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;51;51;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
