priorytet;rodzina;model_podpis;liczba_rekordow_maszyna;przyklady_id_ewidencja_serial;kandydaci_id_model;proponowany_id_model;status_kandydata;brakujace_pola_modelu;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_id_model;uwagi_uzytkownika
WYSOKI;RICOH;MPC 2500;256;17:KP/0011/06/2014:L3664601203-historia || 26:KP/0017/06/2014:L3674400797 || 27:KP/0018/06/2014:L3664601181;383(3/4);383;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=383 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 383: RODZAJ;;
WYSOKI;RICOH;MP 301;254;5537:KP/3312:W914P406180 || 5538:KP/3313:W914P702397 || 5539:KP/3314:W914P406177;472(4/4);472;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=472 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
WYSOKI;RICOH;MPC 307;222;5727:KP/3481/BNP\EMAIL:C506PC03692 || 5728:KP/3482\VM:C506PC01598 || 5729:KP/3483\EMAIL\REMOTE:C508P201876;545(4/4) | 571(4/4) | 392(3/4) | 602(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3003;196;5734:KP/3488:E155M532582 || 5735:KP/3489\VM:E155M921077 || 5736:KP/3490\VM:E155M931253;628(4/4) | 30002488(4/4) | 389(3/4) | 560(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 2003;180;5722:KP/3477/BNP\EMAIL:E204RC61113 || 5723:KP/3478\EMAIL\REMOTE:E214R960075 || 6072:KP/3792/BNP/Ubezp.\EMAIL\REMOTE:E206R261731;378(4/4) | 622(4/4) | 30002487(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 161;145;8:KP/0005/06/2014:M0179404353 || 16:KP/0009/06/2014:M0188701225 || 40:KP/0029/06/2014:M0178807181;338(3/4);338;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=338 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 338: RODZAJ;;
WYSOKI;RICOH;IMC 3000;133;7596:KP/5034/E:3100R830533 || 7597:KP/5035/BNP:3109RC10942 || 7598:KP/5036:3100R530536;539(4/4) | 30002504(4/4) | 30002508(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 171;121;836:KP/0776/08/2014: || 913:KP/0847/09/2014: || 925:KP/0859/09/2014:;339(3/4) | 610(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 306;120;5536:WKP/3311/BNP:G435P900065 || 5726:KP/3480:G445PB03723 || 6076:KP/3806\VM:G435P800059;489(4/4) | 572(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3004;119;5733:WKP/3487/BNP/SRS/Smart/Ubezp\VM:C718R430178 || 3353:KP/2082\EMAIL\REMOTE:G696MB20442 || 3771:KP/2358:C717J800514;390(4/4) | 543(4/4) | 600(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3001;117;64:KP/0044/06/2014:V9314000766 || 819:KP/0759/08/2014: || 1380:KP/1165:;388(3/4);388;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=388 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 388: RODZAJ;;
WYSOKI;RICOH;MPC 2011;114;2236:WEKP/1585\REMOTE:G474MC30530 || 2263:KP/1590:G475M830379 || 2459:KP/1703\REMOTE:G475MC30892;380(3/4) | 624(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
