priorytet;rodzina;model_podpis;liczba_rekordow;status;kandydaci_id_model;proponowany_id_model;brakujace_pola_modelu;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_uzytkownika;uwagi_uzytkownika
WYSOKI;RICOH;MPC 2500;256;jednoznaczny_niepelny;383(3/4);383;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=383 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 383: RODZAJ;;
WYSOKI;RICOH;MPC 307;222;decyzja_duplikat;545(4/4) | 571(4/4) | 392(3/4) | 602(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3003;196;decyzja_duplikat;628(4/4) | 30002488(4/4) | 389(3/4) | 560(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 2003;180;decyzja_duplikat;378(4/4) | 622(4/4) | 30002487(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 161;145;jednoznaczny_niepelny;338(3/4);338;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=338 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 338: RODZAJ;;
WYSOKI;RICOH;IMC 3000;133;decyzja_duplikat;539(4/4) | 30002504(4/4) | 30002508(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 171;121;decyzja_duplikat;339(3/4) | 610(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 306;120;decyzja_duplikat;489(4/4) | 572(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3004;119;decyzja_duplikat;390(4/4) | 543(4/4) | 600(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MPC 3001;117;jednoznaczny_niepelny;388(3/4);388;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=388 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 388: RODZAJ;;
WYSOKI;RICOH;MPC 2011;114;decyzja_duplikat;380(3/4) | 624(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 2000;113;jednoznaczny_niepelny;340(3/4);340;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=340 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 340: RODZAJ;;
WYSOKI;RICOH;DSM 415;108;decyzja_duplikat;318(4/4) | 139(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
